ticker,n_days,coverage,kept
CBU,252,1.0,True
CBUS,252,1.0,True
CBXY,184,0.7301587301587301,False
CBZ,252,1.0,True
CC,252,1.0,True
CCAP,252,1.0,True
CCB,252,1.0,True
CCBG,252,1.0,True
CCC,252,1.0,True
CCCC,252,1.0,True
CCD,252,1.0,True
CCI,252,1.0,True
CCIF,252,1.0,True
CCJ,252,1.0,True
CCK,252,1.0,True
CCL1EUR,0,0.0,False
CCLD,252,1.0,True
CCNE,252,1.0,True
CCO,252,1.0,True
CCOI,252,1.0,True
CCOR,252,1.0,True
CCS,252,1.0,True
CCSI,252,1.0,True
CCSO,252,1.0,True
